ID,Metric Name,Definition
PI4243,Student to Toilet Ratio,Number of students per functioning toilet during the reporting period.
PI4279,Educational Resource to Student Ratio,Number of textbooks or digital educational resources per student provided by the organization during the reporting period.
PI4509,Students Provided Full Scholarship,Number of students receiving full scholarships during the reporting period.
PI4554,Value of New Education Facility Materials,Value of new educational facility materials provided to students by the organization during the reporting period.
PI4555,Percent Students Receiving Free and Subsidized School Meals,Percentage of students receiving free and subsidized school meals as of the end the reporting period.
PI4924,Student Transition Rate,Percentage of students advancing from one level of schooling to the next during the reporting period.
PI5110,Student to Teacher Ratio,Number of students per teacher during the reporting period.
PI5380,Classroom Area per Student,Area of classroom space per student during the reporting period.
PI5501,Student to Classroom Ratio,Number of students per classroom during the reporting period.
PI5583,School Enrollment: Very Poor,"Number of very poor students enrolled as of the end of the reporting period, both full-time and part-time, where each discrete student is counted regardless of number of courses."
PI5736,Value of New Education Instructional Materials,Value of new educational instructional materials provided to students by the organization during the reporting period.
PI5954,School Enrollment: Disabilities,"Number of students with disabilities enrolled as of the end of the reporting period, both full-time and part-time, where each discrete student is counted regardless of number of courses."
PI6569,School Enrollment: Rural,"Number of students residing in rural areas enrolled as of the end of the reporting period, both full-time and part-time, where each discrete student is counted regardless of number of courses."
PI6971,School Meals,Number of free or subsidized meals provided by the organization during the reporting period.
PI7254,School Enrollment: Poor,"Number of poor students enrolled as of the end of the reporting period, both full-time and part-time, where each discrete student is counted regardless of number of courses."
PI7268,Classroom Space New/Improved,"Area of classroom space that was built, converted, or expanded for use within educational facilities. Report only space completed during the reporting period."
PI7774,School Enrollment: Minorities/Previously Excluded,"Number of students who belong to minority or previously excluded groups and are enrolled as of the end of the reporting period, both full-time and part-time, where each discrete student is counted regardless of number of courses."
PI7871,Teaching Experience,Average number of years of formal education for teachers/instructors as of the end of the reporting period.
PI8372,Student Tests Pass Rate,Percentage of school students passing standardized tests set by a regional governance body during the reporting period.
PI8836,Vocational/Technical Training,Number of students receiving vocational or technical training during the reporting period.
PI9910,Student Dropout Rate,Percentage of students that were attending school at the beginning of the reporting period but dropped out during the reporting period.
OI3115,Caregivers Employed: Responsive,Number of caregivers who are responsive to children's needs and who are employed by the organization as of the end of the reporting period.
PI9024,Average Student Test Score,Average test score (as a percent of a perfect score) earned by students served by the organization during the reporting period.
PI1836,Learning Hours,Number of learning hours provided to students during the reporting period.
PI9465,Job Placements,"Number of the organization's clients who were placed in part-time, full-time, temporary, or permanent jobs during the reporting period."
OI4564,Units/Volume Replaced,Number of status-quo products that were replaced by products sold during the reporting period.
OI5657,Total Personal Connectivity Devices,Average number of connectivity devices utilized in each client household during the reporting period.
OI9206,Renewable Energy Expenditures,Amount of money spent by the organization for its own consumption in renewable energy infrastructure and technology at the organization's operating facilities during the reporting period.
PD1504,Energy Capacity of Products Sold,Amount of potential energy generation over the lifetime of the product for all products sold by the organization during the reporting period.
PD2713,Energy Capacity of Product,Amount of potential energy generation over the lifetime of the product based on the planned operation of the product/system.
PD4927,Energy Savings from Services Sold,Amount of energy savings due to the organization's services that were sold during the reporting period.
PD5578,Energy Consumption of Product Replaced,Amount of energy that would have been used by the replaced product during the lifetime of the organization's product.
PD6596,Energy Consumption of Product,Amount of energy used by the product during the lifetime of the product.
PI2111,Client Spending: Connectivity,Amount of money spent by the client on connectivity costs during the reporting period.
PI2210,Energy Generated for Sale: Non-Renewable,Amount of non-renewable energy generated and sold to offtaker(s) during the reporting period.
PI3486,Product Hours of Light Available,Number of hours of light available from the product during the reporting period.
PI5489,Client Spending: Energy,Amount of money spent by the client on sources of energy during the reporting period.
PI5842,Energy Generated for Sale: Renewable,Amount of renewable energy generated and sold to offtaker(s) during the reporting period.
PI7623,Energy Savings from Products Sold,Amount of energy savings over the lifetime of the product for those products that were sold by the organization during the reporting period.
PI8706,Energy Generated for Sale: Total,Amount of energy generated and sold to offtaker(s) during the reporting period.
FP1129,Loans Receivable Net,Net value of the organization's loans receivable at the end of the reporting period.
FP1192,Loan to Deposit (LTD) Ratio,"Ratio used to assess an organization's liquidity, calculated by dividing the organization's loans receivable gross by its total deposits as of the end of the reporting period."
FP1307,Capital Available: Total,Value of capital available to the organization for lending and investing at the end of the reporting period.
FP2392,Impairment Loss Allowance,Value of contra asset account set up by the organization as a provision for the potential future loss of capital that has been lent out by the firm at the end of the reporting period.
FP2460,Gross Incurred Claims,Value of the organization's gross incurred claims at the end of the reporting period.
FP2553,Financial Expenses,"Value of expenditures incurred by the organization during the reporting period due to interest, fees, and commissions incurred on the organization's liabilities, including any client deposit accounts held by the organization, borrowings, subordinated debt, and other financial liabilities during the reporting period."
FP2630,Loans Receivable Gross,Value of outstanding principals for all of the organization's outstanding loans due from clients at the end of the reporting period.
FP2635,Non Performing Loans (Portfolio at Risk)- 30 Days,Value of all of the organization's loans outstanding at the end of the reporting period that have one or more installments of principal past due for more than 30 days.
FP2638,Capital Available: Borrowed Funds,Value of capital available to the organization for lending and investing at the end of the reporting period that is attributed to debt obligations on the organization's balance sheet.
FP3939,Loans Recovered,Value collected by the organization during the reporting period on loans that had previously been written off.
FP5662,Capital Available: Equity Capital,Value of capital available to the organization for lending and investing at the end of the reporting period that is attributed to equity contributions.
FP5979,Number of Loans Fully Repaid on Time,Number of all the organization's loans due for pay back during the reporting period (but disbursed at any time) that have been paid no later than their due date.
FP6152,Solvency Ratio,"Ratio of an organization's admitted assets to liabilities, per an organization's statutory accounts, as of the end of the reporting period."
FP6354,Non Performing Loans (Portfolio at Risk)- 60 Days,Value of all of the organization's loans outstanding at the end of the reporting period that have one or more installments of principal past due for more than 60 days.
FP6373,Non Performing Loans (Portfolio at Risk)- 90 Days,Value of all of the organization's loans outstanding at the end of the reporting period that have one or more installments of principal past due for more than 90 days.
FP8478,Incurred Claims Ratio,Percentage of gross incurred claims during the reporting period relative to the gross earned premium during the same reporting period.
FP9083,Total Deposits,"Value of the organization's customer deposits, whether voluntary, compulsory, demand, or term, as well as all other liabilities from customers at the end of the reporting period."
FP9717,Loan Write-offs,Value of loans written off by the organization during the reporting period.
FP9954,Value of Loans Fully Repaid on Time,Value of all the organization's loans due for pay back during the reporting period (but disbursed at any time) that have been paid no later than their due date.
OI2818,Loan Officers Employed,Number of loan officers employed by the organization as of the end of the reporting period.
OI5803,Loan Officer Wages,Value of wages (including bonuses) paid to loan officers during the reporting period.
PD3079,Weighted Average Tenor of Loans Outstanding,"Weighted average tenor of loans outstanding on the organization's balance sheet at the end of the reporting period.

Organizations should report average tenor in months."
PI1275,Renewal Ratio,"Percentage of the policies belonging to the organization's clients that stay enrolled after their coverage term expires, during the reporting period."
PI1478,Number of Loans Outstanding,Number of disbursed loans remaining on the organization's balance sheet at the end of the reporting period.
PI1914,Number of Equity Investments Outstanding,Number of equity investments on the organization's balance sheet at the end of the reporting period.
PI1934,Average Insurance Premium,Average amount of annualized insurance premium charged for a particular insurance product provided by the organization during the reporting period.
PI2025,Gross Earned Premium,Value of gross earned premiums collected by the organization as of the end of the reporting period without any deductions such as commissions and other expenses.
PI2070,Promptness of Claims Submission,"Average number of days elapsed between when an insured incident occurred and when the stakeholder (client of the organization) submits a complete claim, for all claims settled during the reporting period."
PI2197,Number of Complaints Registered,Number of complaints registered by clients of the reporting organization during the reporting period.
PI3069,Number of Potential Renewals,Number of policies belonging to the organization's clients that could have been renewed during the reporting period.
PI3212,Number of Renewals,"Number of policies belonging to the organization's clients that are renewed after the coverage term expired, during the reporting period."
PI3240,Value of Voluntary Savings Accounts,"Value of voluntary savings accounts managed by the organization, including demand deposits and time deposits, as of the end of the reporting period."
PI3383,Claims Rejected,Number of claims that were submitted to the organization but were rejected during the reporting period.
PI3734,Minimum Insurance Premium,Minimum annualized insurance premium offered for the insurance product provided by the organization during the reporting period.
PI4142,Value of Equity Investments Closed,Value of equity investments closed by the organization at the end of the reporting period.
PI4583,New Businesses Created: Total,Number of new businesses created as a result of investments made by the organization during the reporting period.
PI5066,Number of Equity Investments Closed,Number of equity investments closed by the organization during the reporting period.
PI5160,Average Loan Size Disbursed,Average loan size disbursed by the organization during the reporting period.
PI5216,Complaints Ratio,Percentage of complaints registered by clients of the reporting organization relative to the number of clients during the reporting period.
PI5476,Value of Loans Disbursed,Value of loans disbursed by the organization during the reporting period.
PI6414,New Businesses Created: Low Income Areas,Number of new businesses created in low income areas as a result of investments made during the reporting period.
PI6439,Number of Voluntary Savings Accounts,"Number of voluntary savings accounts managed by the organization, including demand deposits and time deposits, as of the end of the reporting period."
PI7467,Effective Interest Rate (EIR),Effective interest rate (EIR) for the most representative loan product of the organization during the reporting period.
PI7569,Value of Loans Outstanding,Value of disbursed loans remaining on the organization's balance sheet at the end of the reporting period.
PI7902,Claims Rejection Ratio,Percentage of claims made by clients of the organization that were rejected during the reporting period relative to the total claims submitted to the organization during the reporting period.
PI7940,Value of Equity Investments Outstanding,Value of equity investments on the organization's balance sheet at the end of the reporting period.
PI8018,Claims Submitted,Number of claims submitted to the organization during the reporting period.
PI8381,Number of Loans Disbursed,Number of loans disbursed by the organization during the reporting period.
PI8919,Promptness of Claims Processing,"Average number of days elapsed between when a stakeholder (client of the organization) submits a completed claim and when the stakeholder received the payment or claim denial, for all claims settled during the reporting period."
PI9250,Active Borrowers per Loan Officer,Number of active borrowers (clients) per loan officer at the organization as of the end of the reporting period.
PI9897,Promptness of Claims Settlement,Average number of days elapsed between when an insured incident occurred and when the stakeholder (client of the organization) received the payment or claim denial for all claims settled (or rejected) during the reporting period.
OI4919,Caregivers Employed: Professionals,"Number of caregiver professionals with current licenses or certifications based on local requirements, employed by the organization as of the end of the reporting period."
OI5323,Caregivers Employed: Total,"Number of caregivers with current licenses, certifications, or trainings based on local requirements, employed by the organization as of the end of the reporting period."
PI1017,Healthcare Facilities,Number of healthcare units/facilities under the organization's management as of the end of the reporting period.
PI3902,Health Intervention Completion Rate,"Percentage of the organization's clients, or patients, who successfully completed the course of a health intervention during the reporting period."
PI5060,Patients Completing Treatment,Number of patients who successfully completed the clinically recommended course of a health intervention during the reporting period.
PI5743,Critical Equipment/Facility Utilization Rate,Utilization rate of identified critical equipment/facility during the reporting period.
PI6845,Patients Screened,"Number of patients screened for medical conditions, illnesses, or risk factors during the reporting period."
PI7395,Client Spending: Health,Amount of money spent by the client on health costs during the reporting period.
PI3594,Child Stunting Prevalence,Ratio of children within the area served by the organization who experienced stunting as of the end of the reporting period.
OI7065,Number of Containers Handled,"Number twenty-foot equivalent units (TEUs) of cargo containers transported by a road, railway, port, or airport during the reporting period.
"
OI5490,Bulk Cargo Handled,"Volume of bulk cargo transported through the road, railway, port, or airport during the reporting period."
OI0659,Average Daily Traffic,Average number of vehicles per day using an urban road over the course of a year.
PI2135,Length of Adjacent Protected Land,Length of protected land boundary shared with the organization's protected land as of the end of the reporting period.
PI2538,Length of Coastline Restored,"Length of marine or freshwater coastline under ecological restoration management on protected land, land under sustainable stewardship, or land under sustainable cultivation during the reporting period."
PI3239,Length of Streams Present,"Length of freshwater streams present during the reporting period on protected land, land under sustainable stewardship, or land under sustainable cultivation."
PI3848,Area of Trees Planted: Native Species,Area of land on which native species of trees were planted by the organization during the reporting period.
PI3924,Protected Land Area: Permanent,Area of land with a permanently protected land status as of the end of the reporting period.
PI4127,Area of Trees Planted: Total,Area of land on which trees were planted by the organization during the reporting period.
PI4716,Protected Land Area: Total,Area of land with a protected land status as of the end of reporting period.
PI4907,Area of Land Reforested,Area of land that has been reforested by the organization during the reporting period.
PI5750,Area of Adjacent Protected Land,Area of protected land that shares a boundary with the organization's protected land as of the end of the reporting period.
PI5840,Length of Coastline Present,"Length of marine or freshwater coastline present during the reporting period on protected land, land under sustainable stewardship, or land under sustainable cultivation."
PI6885,Length of Streams Restored,"Length of freshwater streams under ecological restoration management on protected land, land under sustainable stewardship, or land under sustainable cultivation during the reporting period."
PI7170,Area of Fresh Water Bodies Present,"Surface area of freshwater bodies present during the reporting period on protected land, land under sustainable stewardship, or land under sustainable cultivation."
PI9556,Ecological Restoration Management Area,Area of land under ecological restoration management during the reporting period. Include both land area directly controlled and land area indirectly controlled by the organization.
OI5942,Toxic Materials,Amount of toxic materials used in the organization's manufacturing processes during the reporting period.
PD5833,Percent Affordable Housing,Percentage of housing units projected to be constructed or preserved as a result of expenditures made by the organization during the reporting period that will be considered to be affordable housing.
PI1409,Client Spending: Housing,Amount of money spent by the client on housing costs during the reporting period.
PI1586,Building Area of Energy Efficiency Improvements,Area of buildings projected to receive energy efficiency improvements as a result of investments made by the organization during the reporting period.
PI2410,Value of Community Facilities Financed,"Value of community facilities projected to be built, renovated, or purchased as a result of investments made by the organization during the reporting period."
PI2491,Number of Housing Units Constructed,Number of housing units constructed by the organization during the reporting period.
PI2640,Individuals Housed,"Number of individuals projected to be housed in single-family or multi-family dwellings as a result of new construction, loans, repairs, or remodeling resulting from investments made by the organization during the reporting period."
PI4765,Area of Community Facilities Financed,Area of community facilities projected to be constructed or preserved as a result of investments made by the organization during the reporting period.
PI5965,Number of Housing Units Financed,Number of housing units projected to be constructed or preserved as a result of investments made by the organization during the reporting period.
PI5983,Value of Commercial or Retail Infrastructure Financed,Value of commercial or retail infrastructure projected to be built or renovated as a result of investments made by the organization during the reporting period.
PI6058,Number of Housing Units Improved,Number of housing units improved or refurbished by the organization during the reporting period.
PI6303,Eviction Rate,Percentage of tenants involuntarily removed from the housing unit and the total number of permanent tenants during the reporting period.
PI7233,Value of Housing Units Financed,Value of housing units projected to be constructed or preserved as a result of investments made by the organization during the reporting period.
PI8007,Number of Community Facilities Financed,"Number of community facilities projected to be built, renovated, or purchased as a result of investments made by the organization during the reporting period."
PI9170,Area of Buildings Reused,Area of buildings projected to be renovated/remodeled that qualify for building reuse as a result of investments made by the organization during the reporting period.
OI1346,Waste Produced: Hazardous Waste,Amount of hazardous waste created by the organization's operations during the reporting period.
OI2535,Waste Disposed: Recycled/Reused,Amount of waste disposed by the organization through reuse and recycling during the reporting period.
OI4328,Recycled Materials,Amount of recycled materials used in the organization's products (including packaging) during the reporting period.
OI4483,Waste Disposed: Landfill,Amount of waste disposed by the organization through landfills during the reporting period.
OI5101,Biodegradable Materials,Amount of biodegradable materials used in the organization's products (including packaging) during the reporting period.
OI6192,Waste Disposed: Total,Amount of waste disposed by the organization during the reporting period.
OI6709,Waste Produced: Total,Amount of waste created by the organization's operations during the reporting period.
OI7442,Waste Produced: Non-Hazardous Waste,Amount of non-hazardous waste created by the organization's operations during the reporting period.
OI7920,Waste Reduced,"Amount of waste reduced by the organization during the reporting period through programs for substitution, recycling, or recovery."
OI8357,Waste Disposed: Incinerated,Amount of waste disposed by the organization through incineration during the reporting period.
OI8843,Waste Disposed: Other,Amount of waste disposed by the organization through other means during the reporting period.
OI9847,Waste Disposed: Composted,Amount of waste disposed by the organization through composting during the reporting period.
PD9364,Percent Recycled Materials,Percentage of recycled materials used to manufacture the organization's product (including packaging)/services during the reporting period.
PI2073,Hazardous Waste Avoided,Amount of hazardous waste avoided based on refurbishing/reusing/recycling as part of delivering or developing the organization's products/services during the reporting period.
PI5678,Waste Reductions from Services Sold,Amount of reductions in waste during the reporting period due to the organization's services sold.
PI5926,Waste Reductions from Products Sold,Amount of reductions in waste over the lifetime of products sold by the organization during the reporting period.
PI8177,Non-hazardous Waste Avoided,Amount of non-hazardous waste disposal avoided based on the organization's refurbishing/reusing/recycling as part of delivering or developing the organization's products/services during the reporting period.
OI1697,Water Consumed: Total,Volume of water used for the organization's operations during the reporting period.
OI1927,Water Consumed: Recycled,Volume of recycled water used for the organization's operations during the reporting period.
OI3031,Water Consumed: Municipal,Volume of water drawn from municipal water sources used for the organization's operations during the reporting period.
OI3637,Water Consumed: Regions with High Water Stress,Volume of water used from regions with high or extremely high baseline water stress during the reporting period.
OI4015,Water Conserved,Volume of reduced water usage achieved as a result of the organization's water conservation efforts during the reporting period.
OI4467,Water Consumed: Groundwater,Volume of groundwater used for the organization's operations during the reporting period.
OI6721,Water Consumed: Rainwater,Volume of rainwater used for the organization's operations during the reporting period.
OI8060,Water Consumed: Surface Water,Volume of surface water used for the organization's operations during the reporting period.
OI8828,Water Consumed: Wastewater,Volume of wastewater used for the organization's operations during the reporting period.
OI9412,Wastewater Treated,Volume of wastewater treated by the organization during the reporting period.
PD1403,Water Provision Capacity of Products Sold: Potable,"Volume of potential potable water provided over the lifetime of the product, for all products sold during the reporting period."
PD2020,Water Provision Capacity of Products Sold: Total,Volume of potential water provided over the lifetime of the product for all products sold during the reporting period.
PD3523,Water Treatment Capacity of Products Sold,Volume of potential water treated over the lifetime of the product for all products sold during the reporting period.
PD3931,Water Consumption of Product,Average volume of water utilization/consumption over the lifetime of the product based on the planned operation of the product/system.
PD5087,Water Treatment Capacity of Product: Potable,Volume of water treated to become potable over the lifetime of the product based on the planned operational capacity of the product/system.
PD5786,Water Savings from Products Sold,Volume of water savings over the lifetime of the organization's products for products that were sold during the reporting period.
PD6052,Water Provision Capacity of Product: Total,Volume of water provided over the lifetime of the product based on the planned operational capacity of the product/system.
PD6929,Water Provision Capacity of Product: Potable,Volume of potable water provided over the lifetime of the product based on the planned operational capacity of the product/system.
PD7621,Water Consumption of Product Replaced,Average volume of water that would have been consumed by the replaced product during the lifetime of the organization's product.
PD8586,Water Treatment Capacity of Product: Total,Volume of water treated over the lifetime of the product based on the planned operational capacity of the product/system.
PI2884,Water Savings from Services Sold,Volume of water savings during the reporting period due to the organization's services sold.
PI8043,Water Provided for Sale: Potable,Volume of potable water provided and delivered to offtaker(s) during the reporting period.
PI9468,Water Provided for Sale: Total,Volume of water provided and delivered to offtaker(s) during the reporting period.
OI2799,Level of Water Stress,"Level of baseline water stress on land directly or indirectly managed by the organization as of the end of the reporting period. Choose all that apply: 
- Low (<10%)
- Low-medium (1019.9%)
- Medium-high (2039.9%)
- High (4080%)
- Extremely high (>80%)
- Arid and low water use
- No data"
OI0263,Water Withdrawn,"Volume of all water drawn from surface water, groundwater, seawater, or a third party for any use by the organization during the reporting period."
OI0386,Water Discharged,"Volume of effluents, used water, and unused water released to surface water, groundwater, seawater, or a third party, for which the organization has no further use, during the reporting period."
OI9202,Streamflow Rate,Rate of flowing water in a stream or river on land directly or indirectly managed by the organization as of the end of the reporting period.
OI8541,Peak Flow Rate,Rate of maximum flow of water through a stream or river on land directly or indirectly managed by the organization as of the end of the reporting period.
OI3979,Stream Turbidity Level,"Level of turbidity (in Nephelometric Turbidity Units, or NTU) observed in streams or rivers on land directly or indirectly managed by the organization as of the end of the reporting period."
OI7560,Land Directly Controlled: Impervious Surfaces,Area of land directly controlled by the organization that is impervious to water during the reporting period.
OD6737,Stormwater Runoff,Volume of water generated from rain and snowmelt flowing over (without soaking into the ground of) land indirectly or directly controlled by the organization during the reporting period.
PI8053,Number of Household and Business Connections,Number of residential and commercial connections to utilities and services provided by the organization as of the end of the reporting period.
PI3317,Number of Individual Connections,Number of connections to utilities and services provided to individuals by the organization as of the end of the reporting period.